time_s,altitude_ref_m,altitude_m,altitude_est_m,vertical_speed_ref_mps,vertical_speed_mps,vertical_speed_est_mps,pitch_ref_rad,pitch_rad,pitch_est_rad,pitch_ref_deg,pitch_deg,pitch_est_deg,quat_norm_true,quat_norm_est,motor_cmd_1_radps,motor_speed_1_radps,motor_cmd_2_radps,motor_speed_2_radps,motor_cmd_3_radps,motor_speed_3_radps,motor_cmd_4_radps,motor_speed_4_radps
10.73,42.92,42.9109979833755,42.7309159482605,4,4.00865289979161,3.48000603367731,0,-1.8997331485693e-13,-4.7435337018633e-15,0,-1.0884669161412e-11,-2.71784461094835e-13,1,1,553.478687751254,553.470500450614,553.478687751254,553.470500450614,553.478687751254,553.470500450614,553.478687751254,553.470500450614
10.74,42.96,42.9510845123734,42.7710063036695,4,4.00857895017352,3.47993977306262,0,-1.90179608172693e-13,-4.7518339369214e-15,0,-1.0896488897747e-11,-2.7226002953263e-13,1,1,553.480266923302,553.472137910742,553.480266923302,553.472137910742,553.480266923302,553.472137910742,553.480266923302,553.472137910742
10.75,43,42.9911703018752,42.8110958900567,4,4.00850557645157,3.47987402667457,0,-1.90385901488456e-13,-4.75980216257718e-15,0,-1.0908308634082e-11,-2.72716575232914e-13,1,1,553.481834811915,553.473763713254,553.481834811915,553.473763713254,553.481834811915,553.473763713254,553.481834811915,553.473763713254
10.76,43.04,43.0312553576397,42.8511847133892,4,4.00843277452455,3.47980879086459,0,-1.90592194804219e-13,-4.76745165920673e-15,0,-1.0920128370417e-11,-2.73154859105187e-13,1,1,553.483391489861,553.475377932986,553.483391489861,553.475377932986,553.483391489861,553.475377932986,553.483391489861,553.475377932986
10.77,43.08,43.0713396853849,42.8912727795919,4,4.00836054031758,3.47974406200741,0,-1.90798488119982e-13,-4.77479517597109e-15,0,-1.0931948106752e-11,-2.73575611622569e-13,1,1,553.484937029502,553.476980644361,553.484937029503,553.476980644361,553.484937029503,553.476980644361,553.484937029503,553.476980644361
10.78,43.12,43.1114232907881,42.9313600945475,4,4.00828886978194,3.47967983650092,0,-1.91004781435745e-13,-4.78184495206489e-15,0,-1.09437678430869e-11,-2.73979534039255e-13,1,1,553.4864715028,553.478571921389,553.4864715028,553.478571921389,553.4864715028,553.478571921389,553.4864715028,553.478571921389
10.79,43.16,43.1515061794859,42.971446664097,4,4.00821775889498,3.47961611076611,0,-1.91211074751509e-13,-4.78861273711493e-15,0,-1.09555875794219e-11,-2.74367299559274e-13,1,1,553.48799498131,553.480151837671,553.48799498131,553.480151837671,553.48799498131,553.480151837671,553.48799498131,553.480151837671
10.8,43.2,43.1915883570749,43.0115324940398,4,4.00814720365993,3.47955288124686,0,-1.91417368067272e-13,-4.79510981076296e-15,0,-1.09674073157569e-11,-2.74739554458493e-13,1,1,553.48950753619,553.481720466399,553.48950753619,553.481720466399,553.48950753619,553.481720466399,553.48950753619,553.481720466399
10.81,43.24,43.2316698291115,43.0516175901343,4,4.00807720010574,3.47949014440988,0,-1.91623661383035e-13,-4.80134700146508e-15,0,-1.09792270520919e-11,-2.75096919161742e-13,1,1,553.491009238199,553.483277880357,553.491009238199,553.483277880357,553.491009238199,553.483277880357,553.491009238199,553.483277880357
10.82,43.28,43.2717506011125,43.0917019580975,4,4.00800774428702,3.47942789674454,0,-1.91829954698798e-13,-4.80733470453911e-15,0,-1.09910467884269e-11,-2.75439989276862e-13,1,1,553.4925001577,553.484824151926,553.4925001577,553.484824151926,553.4925001577,553.484824151926,553.4925001577,553.484824151926
10.83,43.32,43.3118306785554,43.131785603606,4,4.0079388322838,3.47936613476277,0,-1.92036248014561e-13,-4.81308289949018e-15,0,-1.10028665247619e-11,-2.75769336587377e-13,1,1,553.493980364658,553.486359353081,553.493980364658,553.486359353081,553.493980364658,553.486359353081,553.493980364658,553.486359353081
10.84,43.36,43.3519100668782,43.1718685322958,4,4.00787046020144,3.47930485499893,0,-1.92242541330324e-13,-4.81860116664321e-15,0,-1.10146862610969e-11,-2.76085510005471e-13,1,1,553.495449928649,553.487883555396,553.495449928649,553.487883555396,553.495449928649,553.487883555396,553.495449928649,553.487883555396
10.85,43.4,43.3919887714803,43.2119507497627,4,4.00780262417049,3.47924405400968,0,-1.92448834646088e-13,-4.82389870311012e-15,0,-1.10265059974319e-11,-2.76389036486841e-13,1,1,553.496908918852,553.489396830047,553.496908918852,553.489396830047,553.496908918852,553.489396830047,553.496908918852,553.489396830047
10.86,43.44,43.432066797722,43.2520322615625,4,4.00773532034654,3.47918372837385,0,-1.92655127961851e-13,-4.82898433811835e-15,0,-1.10383257337669e-11,-2.76680421908957e-13,1,1,553.49835740406,553.490899247808,553.49835740406,553.490899247808,553.49835740406,553.490899247808,553.49835740406,553.490899247808
10.87,43.48,43.4721441509254,43.2921130732113,4,4.00766854491007,3.47912387469235,0,-1.92861421277614e-13,-4.83386654772625e-15,0,-1.10501454701018e-11,-2.76960151914188e-13,1,1,553.499795452676,553.492390879058,553.499795452676,553.492390879058,553.499795452676,553.492390879058,553.499795452676,553.492390879058
