time_s,altitude_ref_m,altitude_m,altitude_est_m,vertical_speed_ref_mps,vertical_speed_mps,vertical_speed_est_mps,pitch_ref_rad,pitch_rad,pitch_est_rad,pitch_ref_deg,pitch_deg,pitch_est_deg,pitch_estimation_error_deg,accel_correction_weight,accel_consistency_metric,quat_norm_true,quat_norm_est,motor_cmd_1_radps,motor_speed_1_radps,motor_cmd_2_radps,motor_speed_2_radps,motor_cmd_3_radps,motor_speed_3_radps,motor_cmd_4_radps,motor_speed_4_radps
13.33,20,19.839932293669,19.8472855260907,0,-0.0583496389774072,-0.0420860448399018,-0.174532925199433,-0.211854536693068,-0.174883476111737,-10,-12.1383708232122,-10.0200850877795,-2.11828573543274,0,1.76785796508236,1,1,562.276800739385,562.380210855837,562.276800739385,562.380210855837,562.276966593809,562.380379962618,562.276966593809,562.380379962618
13.34,20,19.8393487972792,19.8466574267433,0,-0.0575126960059542,-0.0413361265216438,-0.174532925199433,-0.21185316312499,-0.174882107902569,-10,-12.1382921235585,-10.0200066951687,-2.11828542838986,0,1.7676509120771,1,1,562.256682354926,562.359528832547,562.256682354926,562.359528832547,562.25684757055,562.359697288857,562.25684757055,562.359697288857
13.35,20,19.8387736703191,19.8460380626636,0,-0.0566829614903579,-0.0405925747942415,-0.174532925199433,-0.211851794915822,-0.174880745031496,-10,-12.1382137309477,-10.0199286084082,-2.11828512253951,0,1.76744526290274,1,1,562.236676138698,562.338959537022,562.236676138698,562.338959537022,562.236840717844,562.339127345195,562.236840717844,562.339127345195
13.36,20,19.8382068407042,19.8454273598377,0,-0.0558603956609418,-0.0398553552399108,-0.174532925199433,-0.211850432044749,-0.174879387477782,-10,-12.1381356441872,-10.0198508263099,-2.11828481787731,0,1.76724101152552,1,1,562.216781946353,562.318502857358,562.216781946353,562.318502857358,562.216945891341,562.318670019725,562.216945891341,562.318670019725
13.37,20,19.8376482367476,19.8448252446523,0,-0.0550449587935016,-0.0391244334638311,-0.174532925199433,-0.211849074491035,-0.174878035220766,-10,-12.1380578620889,-10.01977334769,-2.11828451439886,0,1.7670381518826,1,1,562.196999627618,562.298158675157,562.196999627618,562.298158675157,562.197162940762,562.298325194048,562.197162940763,562.298325194048
13.38,20,19.8370977871597,19.8442316438942,0,-0.0542366112115233,-0.0383997750966342,-0.174532925199433,-0.211847722234019,-0.174876688239864,-10,-12.1379803834691,-10.0196961713693,-2.11828421209977,0,1.76683667788354,1,1,562.1773290264,562.277926865649,562.1773290264,562.277926865649,562.177491710012,562.278092743391,562.177491710012,562.278092743391
13.39,20,19.8365554210476,19.8436464847501,0,-0.0534353132883651,-0.0376813457968506,-0.174532925199433,-0.211846375253117,-0.17487534651457,-10,-12.1379032071483,-10.0196192961726,-2.11828391097567,0,1.76663658341174,1,1,562.157769980894,562.257807297799,562.157769980894,562.257807297799,562.157932037281,562.257972536715,562.157932037281,562.257972536715
13.4,20,19.8360210679147,19.8430696948062,0,-0.0526410254493848,-0.0369691112533119,-0.174532925199433,-0.211845033527823,-0.174874010024451,-10,-12.1378263319517,-10.0195427209295,-2.11828361102219,0,1.76643786232581,1,1,562.138322323686,562.237799834418,562.138322323686,562.237799834418,562.138483755149,562.237964436828,562.138483755149,562.237964436828
13.41,20,19.8354946576602,19.8425012020477,0,-0.0518537081740442,-0.0362630371875102,-0.174532925199433,-0.211843697037704,-0.174872678749153,-10,-12.1377497567085,-10.0194664444736,-2.11828331223495,0,1.76624050846093,1,1,562.118985881856,562.217904332272,562.118985881856,562.217904332272,562.119146690694,562.218068300493,562.119146690693,562.218068300493
13.42,20,19.8349761205785,19.8419409348583,0,-0.0510733219979684,-0.0355630893559166,-0.174532925199433,-0.211842365762407,-0.174871352668398,-10,-12.1376734802526,-10.019390465643,-2.11828301460961,0,1.76604451563027,1,1,562.09976047708,562.198120642189,562.09976047708,562.198120642189,562.099920665585,562.198283978533,562.099920665585,562.198283978533
